440000.0,4591400000.0,8,11000000,0.6,1.0,100
15150000,682401450000,500,7000000,1.0,0.8,96
1550000.0,62472750000.0,80,10000000,0.8,0.8,79
1550000.0,84681150000.0,100,9000000,0.8,0.8,65
440000.0,4591400000.0,8,11000000,1.0,0.4,100
1550000.0,84681150000.0,100,10000000,0.4,0.8,86
2150.0,73641800.0,1,10000000,0.8,0.4,72
1550000.0,84681150000.0,100,7000000,0.4,0.6,71
15150000,682401450000,500,7000000,0.4,0.4,57
2150.0,73641800.0,1,9000000,1.0,0.6,100
1550000.0,53524600000.0,70,8000000,1.0,0.4,99
440000.0,4591400000.0,8,11000000,0.4,1.0,85
1550000.0,84681150000.0,100,7000000,0.4,0.8,71
2150.0,73641800.0,1,8000000,0.4,0.6,57
1550000.0,84681150000.0,100,9000000,1.0,0.8,56
440000.0,4591400000.0,8,7000000,0.6,1.0,42
1550000.0,84681150000.0,100,11000000,0.4,0.4,38
440000.0,4591400000.0,8,10000000,0.8,0.6,24
1550000.0,84681150000.0,100,9000000,0.4,0.2,20
1550000.0,84681150000.0,100,8000000,0.4,0.4,100
1550000.0,84681150000.0,100,7000000,0.8,0.8,86
15150000,682401450000,500,7000000,1.0,0.8,72
1550000.0,62472750000.0,80,11000000,0.8,1.0,55
2150.0,73641800.0,1,9000000,0.4,0.6,12
1550000.0,84681150000.0,100,10000000,1.0,0.2,11
