Date,Time,Trips
2014-08-01,0,27
2014-08-01,1,15
2014-08-01,2,8
2014-08-01,3,13
2014-08-01,4,13
2014-08-01,5,22
2014-08-01,6,48
2014-08-01,7,45
2014-08-01,8,51
2014-08-01,9,41
2014-08-01,10,45
2014-08-01,11,63
2014-08-01,12,55
2014-08-01,13,63
2014-08-01,14,66
2014-08-01,15,103
2014-08-01,16,93
2014-08-01,17,86
2014-08-01,18,93
2014-08-01,19,80
2014-08-01,20,72
2014-08-01,21,92
2014-08-01,22,87
2014-08-01,23,61
2014-08-02,0,40
2014-08-02,1,31
2014-08-02,2,13
2014-08-02,3,11
2014-08-02,4,12
2014-08-02,5,13
2014-08-02,6,17
2014-08-02,7,22
2014-08-02,8,36
2014-08-02,9,32
2014-08-02,10,39
2014-08-02,11,41
2014-08-02,12,35
2014-08-02,13,41
2014-08-02,14,63
2014-08-02,15,44
2014-08-02,16,69
2014-08-02,17,64
2014-08-02,18,78
2014-08-02,19,65
2014-08-02,20,71
2014-08-02,21,71
2014-08-02,22,82
2014-08-02,23,72
2014-08-03,0,45
2014-08-03,1,40
2014-08-03,2,23
2014-08-03,3,17
2014-08-03,4,11
2014-08-03,5,14
2014-08-03,6,17
2014-08-03,7,26
2014-08-03,8,17
2014-08-03,9,25
2014-08-03,10,52
2014-08-03,11,44
2014-08-03,12,48
2014-08-03,13,47
2014-08-03,14,48
2014-08-03,15,59
2014-08-03,16,69
2014-08-03,17,57
2014-08-03,18,56
2014-08-03,19,54
2014-08-03,20,52
2014-08-03,21,46
2014-08-03,22,25
2014-08-03,23,22
2014-08-04,0,16
2014-08-04,1,4
2014-08-04,2,10
2014-08-04,3,18
2014-08-04,4,17
2014-08-04,5,28
2014-08-04,6,55
2014-08-04,7,56
2014-08-04,8,45
2014-08-04,9,47
2014-08-04,10,39
2014-08-04,11,51
2014-08-04,12,44
2014-08-04,13,56
2014-08-04,14,72
2014-08-04,15,61
2014-08-04,16,84
2014-08-04,17,89
2014-08-04,18,78
2014-08-04,19,80
2014-08-04,20,74
2014-08-04,21,58
2014-08-04,22,44
2014-08-04,23,19
2014-08-05,0,9
2014-08-05,1,9
2014-08-05,2,3
2014-08-05,3,6
2014-08-05,4,12
2014-08-05,5,17
2014-08-05,6,43
2014-08-05,7,68
2014-08-05,8,65
2014-08-05,9,47
2014-08-05,10,50
2014-08-05,11,58
2014-08-05,12,52
2014-08-05,13,60
2014-08-05,14,82
2014-08-05,15,71
2014-08-05,16,83
2014-08-05,17,83
2014-08-05,18,77
2014-08-05,19,81
2014-08-05,20,77
2014-08-05,21,57
2014-08-05,22,40
2014-08-05,23,17
2014-08-06,0,7
2014-08-06,1,6
2014-08-06,2,10
2014-08-06,3,9
2014-08-06,4,9
2014-08-06,5,26
2014-08-06,6,46
2014-08-06,7,59
2014-08-06,8,51
2014-08-06,9,47
2014-08-06,10,51
2014-08-06,11,52
2014-08-06,12,47
2014-08-06,13,56
2014-08-06,14,73
2014-08-06,15,101
2014-08-06,16,104
2014-08-06,17,109
2014-08-06,18,101
2014-08-06,19,86
2014-08-06,20,79
2014-08-06,21,84
2014-08-06,22,75
2014-08-06,23,26
2014-08-07,0,12
2014-08-07,1,8
2014-08-07,2,8
2014-08-07,3,6
2014-08-07,4,14
2014-08-07,5,25
2014-08-07,6,51
2014-08-07,7,56
2014-08-07,8,65
2014-08-07,9,50
2014-08-07,10,65
2014-08-07,11,52
2014-08-07,12,57
2014-08-07,13,62
2014-08-07,14,59
2014-08-07,15,83
2014-08-07,16,97
2014-08-07,17,103
2014-08-07,18,104
2014-08-07,19,95
2014-08-07,20,97
2014-08-07,21,115
2014-08-07,22,71
2014-08-07,23,45
